"","lga_id","UID","NAME","TYPE","WARD","COMMUNITY","unique_lga"
"46",4,"zxpd","UWULAKANDE HEALTH CENTRE","primaryhealthcarecentre","OKPUITUMO NDEGU","OKPUITUMO NDIEGU","ebonyi_abakaliki"
"47",4,"qpku","AKPE AMACHI HEALTH CENTRE","primaryhealthcarecentre","NDIAGU AMACHI","AMACHI","ebonyi_abakaliki"
"48",4,"kemj","OKPUITUMO HEALTH CENTRE","primaryhealthcarecentre","OKPUITUMO NDEBOR","OKPUITUMO","ebonyi_abakaliki"
"49",4,"fdhf","EDDA HEALTH CENTRE","primaryhealthcarecentre","EDDA","EDDA","ebonyi_abakaliki"
"50",4,"kmge","CHILD HEALTH CARE AFIKPO STREET","primaryhealthcarecentre","NDIAGU URBAN","URBAN","ebonyi_abakaliki"
"51",4,"nexu","NWANWU Health Post","healthpostdispensary","AMACHI NDEBOR","AMACHI","ebonyi_abakaliki"
"52",4,"nvta","ST. PAUL HOSPITAL EKULUMINI","primaryhealthcarecentre","AZUIYIOKWU","URBAN","ebonyi_abakaliki"
"53",4,"obns","OBEGU OMEGE HEALTH CENTRE","primaryhealthcarecentre","OKPUITUMO NDEBOR","OKPUITUMO NDEBOR","ebonyi_abakaliki"
"54",4,"qjjx","IMEABALI HEALTH CENTRE","primaryhealthcarecentre","EDDA","EDDA","ebonyi_abakaliki"
"55",4,"ndom","AFUENYIM HEALTH CENTRE","primaryhealthcarecentre","OKPUITUMO NDEGU","OKPUITUMO NDIEGU","ebonyi_abakaliki"
"56",4,"iwgg","EGWUEGU HEALTH CENTRE","primaryhealthcarecentre","OKPUITUMO NDEGU","OKPUITUMO NDIEGU","ebonyi_abakaliki"
"57",4,"twpv","AMAGU HEALTH CENTRE","primaryhealthcarecentre","AMEGU-ENYIGBA","AMEGU","ebonyi_abakaliki"
"58",4,"orcr","EVANGELA HEALTH CENTRE","primaryhealthcarecentre","AMAGU UNUHU","AMEGU","ebonyi_abakaliki"
"59",4,"pcnf","MODEL Primary Health  CENTRE; NKWEGU","primaryhealthcarecentre","AMAGU UNUHU","AMEGU","ebonyi_abakaliki"
"60",4,"yxfx","OKARIA HEALTH CENTRE","primaryhealthcarecentre","EDDA","EDDA","ebonyi_abakaliki"
"61",4,"xbid","ASSUMPTA SPECIALIST CLINIC OGOJA ROAD ABAKALIKI","primaryhealthclinic","ABAKPA","URBAN","ebonyi_abakaliki"
"62",4,"afil","MOTHER THERESA HOSPITAL","primaryhealthcarecentre","NDIAGU URBAN","URBAN","ebonyi_abakaliki"
"63",4,"ikjq","MONYERELUM HEALTH CLINIC NKALEKE","primaryhealthclinic","IZZIUNUHU","IZZIUNUHU","ebonyi_abakaliki"
"64",4,"nxpd","OMEGE HEALTH CENTRE","primaryhealthcarecentre","OKPUITUMO NDEBO","OKPUITUMO","ebonyi_abakaliki"
"65",4,"ljxa","AZU-UGWU HEALTH CENTRE","primaryhealthcarecentre","IZZIUNUHU","IZZIUNUHU","ebonyi_abakaliki"
"66",4,"ofmd","ENYIGBA HEALTH CENTRE","primaryhealthcarecentre","AMEGU ENYIGBA","ENYIGBA","ebonyi_abakaliki"
"67",4,"fxli","ALPHA CLINIC ABAKALIKI","primaryhealthclinic","AZUIYIOKWU","URBAN","ebonyi_abakaliki"
"68",5,"nnnq","Umunneator PHC","primaryhealthcarecentre","Umuagor","Umunneator","abia_aba_north"
"69",5,"wvtx","Livingword Hospital","comprehensivehealthcentre","Ogbor","Ogbor Hill","abia_aba_north"
"70",5,"qcrg","Alpha Hospital","comprehensivehealthcentre","Industrial Area","Aba","abia_aba_north"
"71",5,"poyh","Princess Mary Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"72",5,"txvm","God's Care Hospital","comprehensivehealthcentre","Industrial Area","Aba","abia_aba_north"
"73",5,"jeqp","Nwamaka Maternity","maternity","Ariaria","Aba","abia_aba_north"
"74",5,"lcld","M.C Hospital","comprehensivehealthcentre","Aba North","Omumu","abia_aba_north"
"75",5,"aqxq","Princess Mary Hospital","comprehensivehealthcentre","Aba North","Umuola","abia_aba_north"
"76",5,"udwk","Angels Hospital","comprehensivehealthcentre","Ariaria","Aba","abia_aba_north"
"77",5,"bxxo","Berma Hospital","comprehensivehealthcentre","Aba North","Omuma","abia_aba_north"
"78",5,"iese","Ikonne Memorial Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"79",5,"gzhc","Chinyere Maternity","maternity","Ariaria","Aba","abia_aba_north"
"80",5,"nudv","Charity Hospital","generalhospital","Aba North","Aba","abia_aba_north"
"81",5,"mxdx","Mount Zion Hospital","comprehensivehealthcentre","Aba North","Umuole","abia_aba_north"
"82",5,"fqkl","Newlead Hospital","comprehensivehealthcentre","Ariaria","Aba","abia_aba_north"
"83",5,"nuif","Uratta Amaise Health Centre","primaryhealthcarecentre","Uratta","Uratta","abia_aba_north"
"84",5,"zmbe","S.D.A Hospital","comprehensivehealthcentre","Uratta","Aba","abia_aba_north"
"85",5,"hvoc","Todac Hospital","comprehensivehealthcentre","Aba","Ogbor Hill","abia_aba_north"
"86",5,"amay","St. Jones Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"87",5,"irzz","Ogbor Hill PHC","primaryhealthcarecentre","Ogbor","Ogbor Hill","abia_aba_north"
"88",5,"cxvp","Osusu II PHC","primaryhealthcarecentre","osusu","Osusu","abia_aba_north"
"89",5,"mxlj","Regal Hospital","comprehensivehealthcentre","Ogbor","Ogbor Hill","abia_aba_north"
"90",5,"ixof","Kelechi Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"91",5,"rdfm","Unilever Clinic","specialisthospital","Uratta","Uratta","abia_aba_north"
"92",5,"gcaf","Eberechukwu Hospital","comprehensivehealthcentre","Ariaria","Aba","abia_aba_north"
"93",5,"khcz","Umuebeke Health Centre","primaryhealthcarecentre","Umuagor","Umuebeke","abia_aba_north"
"94",5,"vrsr","Newlife Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"95",5,"yxik","Ariaria PHC","primaryhealthcarecentre","Ariaria","Aba","abia_aba_north"
"96",5,"njnu","Royal Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"97",5,"dbfc","Obuda Health Centre","primaryhealthcarecentre","Old Aba Road","Obuda","abia_aba_north"
"98",5,"jfkr","St. Rita Hospital","comprehensivehealthcentre","Aba North","Umungasi","abia_aba_north"
"99",5,"tykw","Nnadozie Uchendu Jassinta","comprehensivehealthcentre","Ariaria","Aba","abia_aba_north"
"100",5,"vexu","Ezuma Hospital","comprehensivehealthcentre","Okigwe Rd","Aba","abia_aba_north"
"101",5,"ciqq","Theresa's Hospital","comprehensivehealthcentre","Industrial Area","Aba","abia_aba_north"
"102",5,"lwfd","Zikora Hospital","comprehensivehealthcentre","Ogbor","Ogbor Hill","abia_aba_north"
"103",5,"tfug","Bright Hospital","comprehensivehealthcentre","Aba North","Umuole","abia_aba_north"
"104",5,"nojj","Theresa's Hospital","comprehensivehealthcentre","Osusu","Osusu","abia_aba_north"
"105",5,"vvjv","Twin Sisters Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"106",5,"qqeg","Ivory Hospital / Maternity","maternity","Ariria","Aba","abia_aba_north"
"107",5,"zyqj","Landmark Hospital","comprehensivehealthcentre","Ariaria","Aba","abia_aba_north"
"108",5,"ghgv","Hortsman Hospital","comprehensivehealthcentre","Okigwe Rd","Aba","abia_aba_north"
"109",5,"awyb","Austing Grace Hospital","comprehensivehealthcentre","Okigwe Road","Aba","abia_aba_north"
"110",5,"pegp","Asa Okpulor Health Centre","primaryhealthcarecentre","Uratta","Uratta","abia_aba_north"
"111",5,"gyno","Uratta Primary Health  Centre","primaryhealthcarecentre","Uratta","Uratta","abia_aba_north"
"112",5,"amkh","Euna Hospital and Maternity","maternity","Industrial Area","Aba","abia_aba_north"
"113",5,"ldko","Clehanson Hospital","comprehensivehealthcentre","Aba","Omuma","abia_aba_north"
"114",5,"bwku","Orji Clinic Hospital","specialisthospital","Okigwe road","Aba","abia_aba_north"
"115",5,"nads","G.M.P Hospital","comprehensivehealthcentre","Ogbor","Ogbor Hill","abia_aba_north"
"116",5,"pede","Nissi Clinic","specialisthospital","Ogbor","Ogbor Hill","abia_aba_north"
"117",5,"ovyp","Standard Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"118",5,"sbrk","Eastern Christian Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"119",5,"itya","Evergreen Hospital","comprehensivehealthcentre","Ariaria","Aba","abia_aba_north"
"120",5,"jlno","Okigwe Rd PHC","primaryhealthcarecentre","Okigwe RD","Aba","abia_aba_north"
"121",5,"grna","Delta Hospital","comprehensivehealthcentre","Industrial Area","Aba","abia_aba_north"
"122",5,"iyxb","Uratta PHC","primaryhealthcarecentre","Uratta","Uratta","abia_aba_north"
"123",5,"hdwl","Elu Ohazu Health Centre","primaryhealthcarecentre","Uratta","Uratta","abia_aba_north"
"124",5,"cfzt","M.C Hospital","comprehensivehealthcentre","Aba North","Umuagor","abia_aba_north"
"125",5,"hhpm","St.Jonh's Hospital","comprehensivehealthcentre","Aba North","Aba","abia_aba_north"
"126",5,"jlbs","Ellion Hospital","comprehensivehealthcentre","Ogbor","Ogbor Hill","abia_aba_north"
"127",5,"imyy","Romalex Hospital","comprehensivehealthcentre","Industrial Area","Aba","abia_aba_north"
"128",5,"nnzl","His Stripes Hospital","comprehensivehealthcentre","Industrial Area","Aba","abia_aba_north"
"129",5,"bmxe","Paterson Zochonis(p2) Clinic","specialisthospital","Ariaria","Aba","abia_aba_north"
"130",5,"rjck","Onwuonu Memorial Hospital and Maternity","maternity","Ogbor","Ogbor Hill","abia_aba_north"
"131",5,"rfiy","Safeway Hospital","comprehensivehealthcentre","Ogbor","Ogbor Hill","abia_aba_north"
"132",5,"viwj","Uwalaka Hospital","comprehensivehealthcentre","Osusu","Osusu","abia_aba_north"
"133",5,"voaq","Chinwendu Hospital","comprehensivehealthcentre","Okigwe Road","Aba","abia_aba_north"
"134",5,"przx","M & M Hospital and Maternity","maternity","Industrial Area","Aba","abia_aba_north"
"135",5,"zzsk","Rosevine Hospital","comprehensivehealthcentre","Ariaria Mkt","Umungasi","abia_aba_north"
"136",5,"cqbw","Ebemma Hospital","comprehensivehealthcentre","Ogbor","Ogbor Hill","abia_aba_north"
"137",5,"ihap","Goodness and Mercy Hospital","comprehensivehealthcentre","Ariaria","Aba","abia_aba_north"
"138",5,"vvis","Infant Jesus Hospital","comprehensivehealthcentre","Industrial Area","Aba","abia_aba_north"
"139",5,"syyj","Care Foundation Hospital / Maternity","maternity","Aba","Osisioma","abia_aba_north"
"140",6,"suvz","Chinwe Maternity","maternity","Ngwa","Aba","abia_aba_south"
"141",6,"egkh","St. Joseph Hospital","comprehensivehealthcentre","Mosque","Aba","abia_aba_south"
"142",6,"lmgw","ST. Anthony Hospital","comprehensivehealthcentre","Enyimba","Aba","abia_aba_south"
"143",6,"lfuo","Harvey Clinic","specialisthospital","Enyimba","Aba","abia_aba_south"
"144",6,"vhan","Our Lady of Sick Hospital","comprehensivehealthcentre","Ekeoha","Aba","abia_aba_south"
"145",6,"ktll","Isaac Maternity","maternity","Igwebuike","Aba","abia_aba_south"
"146",6,"pxbu","Santa Maria Hospital","comprehensivehealthcentre","Glouchester","Aba","abia_aba_south"
"147",6,"uror","Mount Zoin Hospital","comprehensivehealthcentre","Glouchester","Aba","abia_aba_south"
"148",6,"zqhx","Umuogele PHC","primaryhealthcarecentre","Umuogele","Umuogele","abia_aba_south"
"149",6,"sdkc","Obuda PHC","primaryhealthcarecentre","Asa","Obu Aba","abia_aba_south"
"150",6,"ucnk","Lady Anaesthesia Hospital","specialisthospital","Aba River","Aba","abia_aba_south"
"151",6,"cbbg","Ihieorji PHC","primaryhealthcarecentre","Ngwa","Ihieorji","abia_aba_south"
"152",6,"luus","Faith Foundation Hospital","comprehensivehealthcentre","Ohazu I","Aba","abia_aba_south"
"153",6,"srpv","Spring Hospital","comprehensivehealthcentre","Igwebuike","Aba","abia_aba_south"
"154",6,"zvqt","School of Health PHC","primaryhealthcarecentre","Glouchester","Aba","abia_aba_south"
"155",6,"qlvx","Ikechukwu Maternity","maternity","Aba Town Hall","Aba","abia_aba_south"
"156",6,"dsqo","Nazareth Hospital","specialisthospital","Eziukwu","Aba","abia_aba_south"
"157",6,"vdim","Mendel Hospital","comprehensivehealthcentre","Eziukwu","Aba","abia_aba_south"
"158",6,"ocqt","ST. Paul's PHC","primaryhealthcarecentre","Ohazu I","Aba","abia_aba_south"
"159",6,"cayt","Aba Ukwu PHC","primaryhealthcarecentre","Enyimba","Aba Ukwu","abia_aba_south"
"160",6,"nybw","Macro Hospital","comprehensivehealthcentre","Ohazu II","Aba","abia_aba_south"
"161",6,"lwvw","Ndiegoro PHC","primaryhealthcarecentre","Okporoenyi","Ndiegoro","abia_aba_south"
"162",6,"vcvd","Igwebuike PHC","primaryhealthcarecentre","Igwebuike","Igwebuike","abia_aba_south"
"163",6,"jnbh","Favour Maternity","maternity","Ohazu I","Aba","abia_aba_south"
"164",6,"qxqp","Winpool Hospital","comprehensivehealthcentre","Mosque","Aba","abia_aba_south"
"165",6,"sxub","Temple Hospital","comprehensivehealthcentre","Ngwa","Aba","abia_aba_south"
"166",6,"hkti","Onyemaechi Maternity","maternity","Asa","Aba","abia_aba_south"
"167",6,"dqjf","Ozuitem PHC","primaryhealthcarecentre","Igwebuike","Ozuitem","abia_aba_south"
"168",6,"tmvh","Clehenson Hospital","comprehensivehealthcentre","Igwebuike","Aba","abia_aba_south"
"169",6,"wenf","222 Cliford Road PHC","primaryhealthcarecentre","Ohazu I","222 Cliford Road Aba","abia_aba_south"
"170",6,"jbrs","Health Office maternity","maternity","Aba Town Hall","Aba","abia_aba_south"
"171",6,"odfo","John Okorie Hospital","comprehensivehealthcentre","Ohazu II","Aba","abia_aba_south"
"172",6,"zkbz","Victory Hospital","comprehensivehealthcentre","Enyimba","Aba","abia_aba_south"
"173",6,"qjeo","Nwadike Hospital","comprehensivehealthcentre","Aba Town Hall","Aba","abia_aba_south"
"174",6,"btab","Better Life Clinic","specialisthospital","Eziukwu","Aba","abia_aba_south"
"175",6,"nyft","Marc Rose Hospital","comprehensivehealthcentre","Mosque","Aba","abia_aba_south"
"176",6,"buhk","Faith in God Hospital","comprehensivehealthcentre","Aba River","Aba","abia_aba_south"
"177",6,"hulj","Ekeoma Hospital","comprehensivehealthcentre","Asa","Asa Aba","abia_aba_south"
"178",6,"xeth","God's Care Hospital","comprehensivehealthcentre","Asa","Aba","abia_aba_south"
"179",6,"dosb","CKC PHC","primaryhealthcarecentre","Glouchester","Aba","abia_aba_south"
"180",6,"yjmu","Obuohia PHC","primaryhealthcarecentre","Eziukwu","Obuohia","abia_aba_south"
"181",6,"vcxy","Kelechi Hospital","comprehensivehealthcentre","Ekeoha","Aba","abia_aba_south"
"182",6,"kmgq","Judge PHC","primaryhealthcarecentre","Mosque","Aba","abia_aba_south"
"183",6,"olpc","Ngwa Road End PHC","primaryhealthcarecentre","Ngwa","Ngwa Road End Aba","abia_aba_south"
"184",6,"wypp","Amaogbonna Square PHC","primaryhealthcarecentre","Aba River","Amaogbonna Square","abia_aba_south"
"185",6,"ynvp","Nnetu PHC","primaryhealthcarecentre","Ekeoha","Nnetu","abia_aba_south"
"186",7,"hips","Omowunmi Maternity Home","maternity","Idiya",NA,"ogun_abeokuta_north"
"187",7,"joxd","Idi- Ori Health Centre II","primaryhealthcarecentre","Idi Ori",NA,"ogun_abeokuta_north"
"188",7,"pvui","Abimbola Maternity Home","maternity","Sabo 9",NA,"ogun_abeokuta_north"
"189",7,"lrzt","C.A.C. Maternity Home","maternity","Iberekodo 5",NA,"ogun_abeokuta_north"
"190",7,"onzv","Arugbado Health Centre","primaryhealthcarecentre","Imala",NA,"ogun_abeokuta_north"
"191",7,"wuwf","Sabo Health Centre","primaryhealthcarecentre","Sabo",NA,"ogun_abeokuta_north"
"192",7,"kgci","Idi-emi  Health Centre","primaryhealthcarecentre","Imala",NA,"ogun_abeokuta_north"
"193",7,"cnun","City of God Maternity Home","maternity","Idiya",NA,"ogun_abeokuta_north"
"194",7,"qwmu","Abanise Maternity Home","maternity","Iberekodo 3",NA,"ogun_abeokuta_north"
"195",7,"vfnf","Wonderful Maternity Home","maternity","Ikeye",NA,"ogun_abeokuta_north"
"196",7,"xjxc","C.A.C. Maternity Home","maternity","Sabo 8",NA,"ogun_abeokuta_north"
"197",7,"woat","Ikereku Health Centre","primaryhealthcarecentre","Ikereku",NA,"ogun_abeokuta_north"
"198",7,"isrv","Fagbenro Health Centre","primaryhealthcarecentre","Ikereku",NA,"ogun_abeokuta_north"
"199",7,"eliz","Omotayo Clinic","primaryhealthclinic","Sabo 8",NA,"ogun_abeokuta_north"
"200",7,"jpqg","General Hospital","generalhospital","Iberekodo 1",NA,"ogun_abeokuta_north"
"201",7,"omek","Ijale Health Centre","primaryhealthcarecentre","Olorunda",NA,"ogun_abeokuta_north"
"202",7,"debk","Neuropsychiatric Hospital","specialisthospital","Ikereku",NA,"ogun_abeokuta_north"
"203",7,"sjwo","Abisola Medical Centre","primaryhealthclinic","Idiya",NA,"ogun_abeokuta_north"
"204",7,"tddl","Isaga Health Post","healthpostdispensary","Ikereku 15",NA,"ogun_abeokuta_north"
"205",7,"yqxd","C.A.C. Maternity Home; Sanni","maternity","Idiya",NA,"ogun_abeokuta_north"
"206",7,"gddq","Shallom Hospital","cottagehospital","Iberekodo 1",NA,"ogun_abeokuta_north"
"207",7,"myec","Army Barrack Clinic","primaryhealthclinic","Alamala",NA,"ogun_abeokuta_north"
"208",7,"rllm","General Hospital","generalhospital","Oberekodo",NA,"ogun_abeokuta_north"
"209",7,"yegr","Brims Hospital; Mile 2","cottagehospital","Idiya",NA,"ogun_abeokuta_north"
"210",7,"onfc","Ogo Oluwa Maternity Home; Mile 2","maternity","Idiya",NA,"ogun_abeokuta_north"
"211",7,"gudq","Totoro Health Centre","primaryhealthcarecentre","Totoro",NA,"ogun_abeokuta_north"
"212",7,"fdsq","MOOP Clinic; Rounder","primaryhealthclinic","Idiya",NA,"ogun_abeokuta_north"
"213",7,"drtl","NPH Community Clinic","primaryhealthcarecentre","Ikereke",NA,"ogun_abeokuta_north"
"214",7,"zxoz","African Church GS Health Post","primaryhealthcarecentre","Totoro",NA,"ogun_abeokuta_north"
"215",7,"huzv","Keesan Health Centre","primaryhealthcarecentre","Olorunda",NA,"ogun_abeokuta_north"
"216",7,"iqtw","Neuropsychiatric Hospital","teachinghospital","Aro; Abeokuta",NA,"ogun_abeokuta_north"
"217",7,"oyjp","Lafenwa Health Centre","primaryhealthcarecentre","Lafenwa",NA,"ogun_abeokuta_north"
"218",7,"rypo","Ilugun/Itun-Oluwo HC","primaryhealthclinic","Iberekodo 2",NA,"ogun_abeokuta_north"
"219",7,"hljd","Kuta Health Centre","primaryhealthcarecentre","Kuta",NA,"ogun_abeokuta_north"
"220",7,"ynjc","Columbia Maternity Home","maternity","Iberekodo 2",NA,"ogun_abeokuta_north"
"221",7,"nduz","Ilewo-orile Health Centre","primaryhealthcarecentre","Ilewo-orile",NA,"ogun_abeokuta_north"
"222",7,"syxt","Community Hospital","comprehensivehealthcentre","Isaga Orile",NA,"ogun_abeokuta_north"
"223",7,"uezd","African Church GS Health Post","primaryhealthcarecentre","Oke Sokori",NA,"ogun_abeokuta_north"
"224",7,"kooh","Antob Maternity Home; Mile 2","maternity","Idiya",NA,"ogun_abeokuta_north"
"225",7,"xlpx","Igosun H/Clinic","primaryhealthclinic","Totoro",NA,"ogun_abeokuta_north"
"226",7,"jptt","Iberekodo Health Centre","primaryhealthcarecentre","Iberekodo",NA,"ogun_abeokuta_north"
"227",7,"okgj","Idi- Ori Health Centre II","primaryhealthcarecentre","Ikereku",NA,"ogun_abeokuta_north"
"228",7,"oasq","35 Artillery Brigade Clinic; Army Barrack","primaryhealthclinic","Idiya",NA,"ogun_abeokuta_north"
"229",7,"tnpk","Lafenwa Enu Gada Health Centre","primaryhealthcarecentre","Gbagura",NA,"ogun_abeokuta_north"
"230",7,"szxi","Mile 2 HC","primaryhealthclinic","Imala",NA,"ogun_abeokuta_north"
"231",7,"fjwk","Community Hospital","cottagehospital","Ikereku 15",NA,"ogun_abeokuta_north"
"232",7,"bdwi","Ibara-orile  Health Centre","primaryhealthcarecentre","Ikereku 16",NA,"ogun_abeokuta_north"
"233",7,"sves","Sabo Health Centre","primaryhealthcarecentre","Sabo 8",NA,"ogun_abeokuta_north"
"234",7,"gsht","Imala Health Centre","primaryhealthcarecentre","Imala",NA,"ogun_abeokuta_north"
"235",7,"cpyv","Iwofin Health Centre","primaryhealthcarecentre","Olorunda",NA,"ogun_abeokuta_north"
"236",7,"dltu","Idi- Ori Health Centre I","primaryhealthcarecentre","Ikereku",NA,"ogun_abeokuta_north"
"237",7,"fksg","Soyoye  Health Centre","primaryhealthcarecentre","Soyoye",NA,"ogun_abeokuta_north"
"238",7,"ksej","Totoro Health Centre","primaryhealthcarecentre","Totoro; Abeokuta",NA,"ogun_abeokuta_north"
"239",8,"pejj","Opeyemi Clinic &  Maternity Home","maternity","Ijaye Abeokuta",NA,"ogun_abeokuta_south"
"240",8,"kdsb","Prince of Peace Hospital","cottagehospital","Kuto Abeokuta",NA,"ogun_abeokuta_south"
"241",8,"qahk","Health Post Ake","healthpostdispensary","Ake",NA,"ogun_abeokuta_south"
"242",8,"awnc","Sch Health Post BGHS","healthpostdispensary","Abeokuta",NA,"ogun_abeokuta_south"
"243",8,"mtul","Faith Heritage Clinic","primaryhealthclinic","Ijeja Abeokuta",NA,"ogun_abeokuta_south"
"244",8,"hhdu","Sch Health Post St. Benedette","healthpostdispensary","Oke Ilewo",NA,"ogun_abeokuta_south"
"245",8,"jsjk","Sch Health Post AGGS","healthpostdispensary","Onikolobo Abeokuta",NA,"ogun_abeokuta_south"
"246",8,"wfqa","Ise-oluwa Hospital","cottagehospital","Itori Odo Abeokuta",NA,"ogun_abeokuta_south"
"247",8,"jytv","Afonja Specialist Hospital","specialisthospital","GRA Abeokuta",NA,"ogun_abeokuta_south"
"248",8,"rzre","Health Post Ijaiye","healthpostdispensary","Ijaiye",NA,"ogun_abeokuta_south"
"249",8,"bjfd","Michesther Medical Centre","cottagehospital","Onikolobo Abeokuta",NA,"ogun_abeokuta_south"
"250",8,"lyiz","Twins Maternity Home","maternity","Titun Abeokuta",NA,"ogun_abeokuta_south"
"251",8,"jddu","Ife-Oluwa Maternity Home","maternity","Isabo Abeokuta",NA,"ogun_abeokuta_south"
